Acinonyx jubatus		12.09						16.1					45.09																																														22.17																					44.87		14.04		7.28														26.35		
Lutra sumatrana	11.54				18.71		30.84			0.26				11.41		7.42	45.55		18.14		10.59									16.32	43.31				10.97				7.95					14.27			18.09					47.04	21.74							39.21			41.35							35.31			40.65		9.38			26.89		2.91		0.48					0.33			13.64			23.31			3.0	22.19			
Lutrogale perspicillata				34.05									10.89																																30.03						43.95																						45.19					48.12			40.73			20.73	24.4		32.57													
Lycalopex culpaeus																																																																																																				
Lycalopex fulvipes		33.55				29.09						3.06	19.07	34.07	22.92	38.56	35.75	35.81		37.17					47.66		27.76	28.46		26.37										30.09										11.95	33.13		47.58					11.84			42.17				11.27	24.67		14.73			24.78	4.12	0.58													29.61							23.22		12.48	13.27	43.11			
Lycalopex griseus																																																																																																				
Lycalopex gymnocercus																																																																																																				
Lycalopex sechurae																							47.52																														43.58											46.77																																				
Lycalopex vetulus																																																																																																				
Lycaon pictus	32.81	36.34	20.88	17.09	8.14	3.74	6.09		0.65	29.83	25.46	14.71		42.75		11.74		13.29	11.78	33.87	11.26	19.87	9.18	10.18		33.56		17.21	4.93			23.81	38.2	15.33	9.13			47.53	15.84	10.51	40.83	16.09		22.43		0.77		7.58	12.16				11.62	5.46	2.58			29.76	14.44	21.24	1.77	26.43	3.91	9.34						7.64	5.32	5.7	7.82	41.5	10.15	40.92	30.09	3.54	21.5		0.84		40.12	1.53				21.97			12.38	8.15	30.94	0.88	10.38	6.4		14.09	4.42	
Lyncodon patagonicus																																				16.66																																																																
Lynx canadensis																																																																									15.32																											
Lynx lynx																																																																																																				
Lynx pardinus			26.39				15.52			17.63					19.94	47.49					22.68		45.97	14.49	1.22	26.14									41.72		25.7				36.53								3.93						39.73		6.31		40.3	41.96	14.4	32.13				17.81					6.25			35.41					0.1		25.84		19.98		7.23			4.81				35.08							2.71	
Lynx rufus																																																																																																				
Macrogalidia musschenbroekii			20.88						28.55																	16.91				41.21							30.05			21.65							24.32																30.13		31.44								32.43						4.24									33.03										43.47		
Martes americana																				26.59																																																																																
Martes flavigula																																																																																																				
Martes foina																																											49.63																																																									
Martes gwatkinsii	36.61	39.92												21.79	41.43	29.97							6.23	31.35														16.09		49.91																			30.16							43.15										34.13		15.27							36.75												42.34		21.08	
Martes martes																																																																																																				
Martes melampus																																																																																																				
Martes pennanti													31.1																																																																																							
Martes zibellina																																																																																																				
Meles anakuma																																																																																																				
Meles leucurus											18.37																																																																																									
Meles meles																																																																																					2.0															
Mellivora capensis																																																																																																				
Melogale cucphuongensis	21.05			1.94		18.23																6.38					17.11	6.72																	27.15																						9.29																																	
Melogale everetti								29.54		18.42		1.54		38.2				30.44				46.64	3.37						0.34	2.6	20.61					46.96			9.58	36.91						25.72						3.69								18.08	10.0									3.84						40.9	45.78			29.54		23.95	49.42		8.86		49.39			10.54				9.42						
Melogale moschata																																																																																																				
Melogale orientalis																																																																																																				
Melogale personata																			26.25																																																																																	
Melursus ursinus						47.23										45.6					19.96		48.94								29.39				37.92																					31.83		5.83	13.24						28.25																					47.62	46.55								47.36					
Mephitis macroura																																																																																																				
Mephitis mephitis																																																																																		30.29																		
Mirounga angustirostris																																																																																																				
Mirounga leonina																																																																																																				
Monachus monachus	30.22	46.87			38.06	15.88		44.26				40.05	22.89	26.15	28.94			29.22				48.05								25.83	1.04		12.17	41.75			49.34			26.81	40.96							45.4							7.27													26.12	4.21			42.04			13.37						45.5									16.39		46.2					32.76			30.61
Mungos gambianus																																																																													48.74																							
Mungos mungo																																								24.69																																																												
Mungotictis decemlineata			48.64					4.48	17.6	3.55		19.1									21.52	12.37		27.83			29.55			20.26	6.82			13.57	43.16	41.25	39.27		29.45				26.25	7.21	22.16											2.68							18.03	34.89				36.81		5.39			3.89		16.29								10.06							6.5	44.88									
Mustela africana															26.53																																																																																					
Mustela altaica																																																																																													21.07							
Mustela erminea																																																																																																				
Mustela eversmanii																																																																																																				
Mustela felipei																				47.76	15.52						3.86	45.32	11.55		30.23							42.12		8.26																																																36.88				43.59								
Mustela frenata																																																																																											34.73									
Mustela itatsi						25.15																																								49.12																																	4.96																	49.06	21.13	14.47		
Mustela kathiah																																																																																																				
Mustela lutreola	4.39	15.6	23.89	0.4	1.74		5.05	18.43	14.83		23.29	7.4			9.71	1.59	30.62		43.7	2.55	17.62		25.71	5.62		29.15		13.22		36.44	3.91		21.07		6.76	6.73			6.9	26.15	19.3				48.43	36.57	20.38				5.5	34.0	17.81		40.66	12.32	46.52	43.73	41.0	1.26	28.19	29.65	6.99		30.08	27.42	15.47	42.53		7.75	3.01	25.27	15.36	32.77	4.33	13.77		3.88		24.86	3.09	2.17	36.52	7.16	23.04	14.49	18.54		7.36		1.9	29.59	19.72	6.3	20.26	17.15	34.36	15.21		
Mustela lutreolina									28.93																																																																																											
